Name, Hubble Distance (Mly), RA, DEC, Velocity CMB (km/s), Redshift (Helio)
LEDA 2477242, 1530.3338501867302, 11h13m16.686s, +54d41m28.66s, 31811.928920754697, 0.105526
LEDA 34163, 498.2689348100702, 11h13m19.823s, +56d28m43.01s, 10357.80260344107, 0.033997
LEDA 2506900, 847.280612319038, 11h13m21.588s, +55d34m22.65s, 17612.908851057495, 0.05818
LEDA 2478573, 1349.7048596959803, 11h13m23.065s, +54d43m58.51s, 28057.090324053544, 0.093002
LEDA 34170, 53.358942605169204, 11h13m26.140s, +53d35m42.30s, 1109.2029946505795, 0.003092
LEDA 2482169, 2008.256433951363, 11h13m28.846s, +54d50m37.28s, 41746.780236033905, 0.138668
LEDA 2460194, 826.7838853436897, 11h13m33.541s, +54d06m53.07s, 17186.83161204959, 0.056731
LEDA 34197, 540.4312389834599, 11h13m38.67s, +55d24m39.0s, 11234.254642540547, 0.0369
LEDA 2507057, 4291.473031614056, 11h13m40.730s, +55d34m39.22s, 89209.31535977194, 0.297
LEDA 2522727, 741.9496536267407, 11h13m42.469s, +56d01m20.17s, 15423.333700076253, 0.050885
LEDA 2446875, 53.4025187552932, 11h13m43.610s, +53d38m48.30s, 1110.1088371177086, 0.003096
LEDA 2512111, 406.4684583083613, 11h13m46.692s, +55d43m18.61s, 8449.493359018725, 0.027617
LEDA 2489233, 1027.7796949710887, 11h13m50.047s, +55d03m38.62s, 21365.046978883543, 0.070686
LEDA 2503455, 1297.5099456431687, 11h13m52.188s, +55d28m33.03s, 26972.08465965532, 0.089397
LEDA 2497738, 1246.054862992223, 11h13m53.579s, +55d18m47.77s, 25902.458295640892, 0.085826
LEDA 2477924, 1067.4484640579167, 11h13m53.913s, +54d42m45.61s, 22189.664471602548, 0.07343
LEDA 2535244, 1743.4206285923067, 11h14m01.409s, +56d23m28.10s, 36241.48620184318, 0.120334
LEDA 2467989, 1686.8359880475334, 11h14m03.621s, +54d22m57.93s, 35065.22877095832, 0.116372
LEDA 2447205, 1301.7140036347464, 11h14m06.136s, +53d39m29.56s, 27059.476828357907, 0.089654
LEDA 34213, 410.61040260423124, 11h14m06.320s, +55d42m39.20s, 8535.594334644313, 0.027904
