RA	DEC	NAME	DIAMETER
169.101667	54.707778	LEDA 2477757 , 2342 Mly	0.42
169.103750	54.669167	LEDA 2476505 , 619 Mly	0.65
169.108333	54.369167	LEDA 2467583 , 970 Mly	0.39
169.111250	54.342778	LEDA 2466799 , 2039 Mly	0.53
169.121250	54.467500	LEDA 2470533 , 1014 Mly	0.33
169.129167	54.636944	LEDA 2475529 , 1622 Mly	0.33
169.129167	54.321111	LEDA 2466117 , 1078 Mly	0.51
169.134167	55.435278	LEDA 2501985 , 1581 Mly	0.48
169.152083	55.648611	LEDA 2509562 , 476 Mly	0.51
169.179583	55.549444	LEDA 2506059 , 846 Mly	0.60
169.182917	53.861667	LEDA 2452958 , 499 Mly	0.80
169.184583	54.702500	LEDA 34403 , 590 Mly	0.81
169.191250	54.285556	LEDA 2465102 , 510 Mly	0.58
169.194583	54.751111	LEDA 34418 , 613 Mly	0.93
169.194583	54.804167	LEDA 2480863 , 1009 Mly	0.47
169.197500	54.642778	LEDA 2475697 , 2123 Mly	0.51
169.199167	54.545000	LEDA 2472807 , 1022 Mly	0.79
169.202083	54.411667	LEDA 2468853 , 2018 Mly	0.34
169.206250	54.990278	LEDA 2486887 , 1074 Mly	0.49
169.208750	54.728333	LEDA 34410 , 610 Mly	0.75
169.225000	54.940556	LEDA 2485269 , 1728 Mly	0.89
169.233750	54.296944	LEDA 2465427 , 1521 Mly	0.34
169.235833	55.679722	LEDA 2510654 , 1596 Mly	0.41
169.240833	54.494722	LEDA 2471303 , 1613 Mly	0.36
169.261250	54.510278	LEDA 2471751 , 1627 Mly	0.54
169.266250	54.554167	LEDA 2473085 , 1022 Mly	0.47
169.267083	54.920833	LEDA 34444 , 1998 Mly	0.57
169.270000	55.514167	LEDA 2504850 , 844 Mly	0.41
169.270833	54.893889	LEDA 2483762 , 1003 Mly	0.33
169.277083	54.916667	LEDA 34447 , 2023 Mly	0.51
169.277083	54.923333	LEDA 34448 , 2043 Mly	0.35
169.280000	54.540278	LEDA 2472680 , 1624 Mly	0.53
169.281250	55.051667	LEDA 2488942 , 1501 Mly	0.33
169.284583	54.917222	LEDA 34452 , 1983 Mly	0.50
169.297083	53.797222	LEDA 2451087 , 1411 Mly	0.36
169.316667	54.855000	LEDA 2482570 , 1510 Mly	0.33
169.319167	54.898333	LEDA 2483895 , 788 Mly	0.47
169.341667	54.817500	LEDA 2481311 , 1028 Mly	0.41
169.349583	53.680000	LEDA 2447816 , 403 Mly	0.34
169.370000	53.865000	LEDA 2453055 , 587 Mly	0.63
169.380833	53.521667	LEDA 34475 , 396 Mly	0.87
169.382083	55.551667	LEDA 2506135 , 1996 Mly	0.45
169.382500	55.821944	LEDA 2515514 , 1599 Mly	0.33
169.383750	55.830556	LEDA 2515816 , 2523 Mly	0.54
169.407500	53.578056	LEDA 2444994 , 1114 Mly	0.67
169.412083	54.297778	LEDA 2465438 , 1288 Mly	0.44
169.424167	53.765278	LEDA 2450195 , 533 Mly	0.75
169.431250	53.793333	LEDA 34505 , 542 Mly	0.87
169.436250	54.511944	LEDA 2471799 , 721 Mly	0.76
169.444167	54.849444	LEDA 2482379 , 1513 Mly	0.33
169.455000	54.531389	LEDA 2472419 , 1022 Mly	0.63
169.455833	54.893333	LEDA 2483751 , 2043 Mly	0.57
169.463333	55.487778	LEDA 2503869 , 1974 Mly	0.60
169.471250	54.646667	LEDA 34515 , 352 Mly	0.65
169.476667	53.370556	LEDA 2439149 , 1499 Mly	0.45
169.486667	54.350833	LEDA 2467019 , 509 Mly	0.70
169.502917	53.441111	LEDA 34523 , 710 Mly	0.95
169.510417	55.551667	LEDA 2506142 , 2012 Mly	0.56
169.531667	53.683333	LEDA 2447908 , 1430 Mly	0.40
169.532083	55.705833	LEDA 2511533 , 852 Mly	0.39
169.535833	54.840833	LEDA 34528 , 100 Mly	0.49
169.540000	54.574444	LEDA 2473689 , 1023 Mly	0.55
